"","part","chapter","subchapter","exercise","node_type","node_size","id"
"1",1,2,1,1,"exercise",1,1
"2",1,2,1,2,"exercise",1,2
"3",1,2,1,3,"exercise",1,3
"4",1,2,1,4,"exercise",1,4
"5",1,2,1,5,"exercise",1,5
"6",1,2,2,1,"exercise",1,6
"7",1,2,2,2,"exercise",1,7
"8",1,2,2,3,"exercise",1,8
"9",1,2,2,4,"exercise",1,9
"10",1,2,3,1,"exercise",1,10
"11",1,2,3,2,"exercise",1,11
"12",1,2,3,3,"exercise",1,12
"13",1,2,4,1,"exercise",1,13
"14",1,2,4,2,"exercise",1,14
"15",1,2,4,3,"exercise",1,15
"16",1,3,1,1,"exercise",1,16
"17",1,3,1,2,"exercise",1,17
"18",1,3,1,3,"exercise",1,18
"19",1,3,1,4,"exercise",1,19
"20",1,3,1,5,"exercise",1,20
"21",1,3,2,6,"exercise",1,21
"22",1,3,2,7,"exercise",1,22
"23",1,3,2,8,"exercise",1,23
"24",1,3,2,9,"exercise",1,24
"25",1,3,3,10,"exercise",1,25
"26",1,3,3,11,"exercise",1,26
"27",1,3,3,12,"exercise",1,27
"28",1,3,4,13,"exercise",1,28
"29",1,3,4,14,"exercise",1,29
"30",1,3,4,15,"exercise",1,30
"31",1,3,5,16,"exercise",1,31
"32",1,3,5,17,"exercise",1,32
"33",1,3,5,18,"exercise",1,33
"34",1,3,5,19,"exercise",1,34
"35",1,4,1,1,"exercise",1,35
"36",1,4,1,2,"exercise",1,36
"37",1,4,1,3,"exercise",1,37
"38",1,4,1,4,"exercise",1,38
"39",1,4,1,5,"exercise",1,39
"40",1,4,1,6,"exercise",1,40
"41",1,4,2,7,"exercise",1,41
"42",1,4,2,8,"exercise",1,42
"43",1,4,3,9,"exercise",1,43
"44",1,4,3,10,"exercise",1,44
"45",1,4,3,11,"exercise",1,45
"46",1,5,1,1,"exercise",1,46
"47",1,5,1,2,"exercise",1,47
"48",1,5,2,3,"exercise",1,48
"49",1,5,2,4,"exercise",1,49
"50",1,5,2,5,"exercise",1,50
"51",1,6,1,1,"exercise",1,51
"52",1,6,1,2,"exercise",1,52
"53",1,6,1,3,"exercise",1,53
"54",1,6,1,4,"exercise",1,54
"55",1,6,1,5,"exercise",1,55
"56",1,6,1,6,"exercise",1,56
"57",1,6,1,7,"exercise",1,57
"58",1,6,2,8,"exercise",1,58
"59",1,6,2,9,"exercise",1,59
"60",1,6,2,10,"exercise",1,60
"61",1,6,3,11,"exercise",1,61
"62",1,6,3,12,"exercise",1,62
"63",1,6,3,13,"exercise",1,63
"64",1,6,3,14,"exercise",1,64
"65",1,6,3,15,"exercise",1,65
"66",1,6,3,16,"exercise",1,66
"67",1,6,4,17,"exercise",1,67
"68",1,6,4,18,"exercise",1,68
"69",1,6,4,19,"exercise",1,69
"70",1,6,5,20,"exercise",1,70
"71",1,6,5,21,"exercise",1,71
"72",1,6,5,22,"exercise",1,72
"73",1,6,5,23,"exercise",1,73
